id,name,type,description,key
1,獣の嗅覚,肉体,あなたは獣のように鋭い嗅覚を持っており、人間よりもはるかに遠くの匂いを、細かく嗅ぎ分けることができる。,Sense_of_smell
2,水中呼吸,肉体,あなたは水中でも、地上と同じように呼吸することができる。ただし、泳げるかどうかはまた別の問題だ。,Underwater_breathing
3,四足歩行,肉体,あなたは4本の脚で、馬のように速く走ることができる。,Quadruped
4,翼,肉体,あなたは空を飛ぶことのできる翼を持っている。,Wings
5,尻尾,肉体,あなたの腰からは、自由に動かせる尻尾が生えている。,Tail
6,ブレス,肉体,あなたは、口から灼熱の炎を吐くことができる。,Breath_attack
7,石の肌,肉体,あなたは石のように固い肌を持ち、ちょっとやそっとの攻撃では傷つかない。,Stone-like_skin
8,超反射神経,肉体,あなたは人間の限界を超えた反射神経を持つ。意識を高速化し、現実をスローモーションのように捉えることが可能だ。,Superhuman_reflexes
9,再生能力,肉体,あなたの肉体は常に傷を再生し、生半可な傷であればたちどころに修復してしまう。,Regenerative_ability
10,暗視,肉体,あなたは闇を見通す特殊な目を持っている。どんな暗闇でも、あなたの視界は明瞭だ。,Night_Vision
11,酒豪,肉体,あなたはどれだけ酒を飲んでも酔うことがない。,Heavy_Drinker
12,鉄の胃袋,肉体,あなたの胃袋は並外れて頑丈だ。どんなものを食べても、腹を壊すことはない。,Iron_Stomach
13,炎血,肉体,あなたの血液は非常に強い熱を帯びている。傷を負うなどして血が体外に出ると、空気と激しく反応し、炎のように燃え上がる。,Flaming_Blood
14,毒物耐性,肉体,あなたは多様な毒物に耐性を持っている。,Toxin_Resistance
15,竜の血,肉体,あなたは偉大なる竜の血を引いている。人間離れした強靭な肉体や魔法に対する耐性など、竜の持つさまざまな特徴をあなたは引き継いでいる。,Dragon_Blood
16,流動する体,肉体,あなたの肉体は、スライムのように自在に変形することができる。,Fluid_Body
17,不死者の肉体,肉体,あなたは死ぬことがない。致命傷を負っても、時間が経てば復活する。,Shapeshifting
18,血の渇望,肉体,あなたは血に飢えている。吸血衝動に苛まれることもあるが、血を飲み、飢えを満たすことができればあなたの身体能力は強化される。,Undying_Flesh
19,爆発的な声量,肉体,あなたはとにかく声がデカい。,Bloodlust
20,武器の天才,肉体,あなたは、あらゆる武器の扱いを瞬時にマスターすることができる。どんな武器でも、あなたにかかれば手足も同然だ。,Explosive_Voice
21,剣豪,肉体,あなたは剣や刀といった刃物の扱いに習熟している。あなたに斬れないものはない。,Weapon_Mastery
22,隠密行動,肉体,あなたは人にバレないように気配を消して行動することに長けている。かくれんぼであなたに勝てる人はいないだろう。,Sword_Master
23,鷹の目,肉体,あなたは鋭い観察眼を持ち、どんな敵の弱点も見抜くことができる。,Stealth
24,ブルズアイ,肉体,あなたは驚異的な射撃技術を持つ。弓や銃を持たせたら百発百中だ。,Eagle_Eyes
25,罠師の腕前,肉体,あなたは罠の扱いに長けている。設置も解除もお手のものだ。,Bullseye
26,模倣者,肉体,あなたは自分が目にしたものの動きを、極めて高い精度で模倣することができる。ただし、尻尾や翼など、自身の持たない部位の動きは模倣することができない。,Trapper's_Skill
27,忘れっぽい,肉体,あなたはすぐに物事を忘れてしまう。5分前のことも覚えていられない。,Mimic
28,老い,肉体,あなたは老いている。身体能力の低下、反射神経の衰えなど、老いはいたるところに影響を及ぼす。,Photographic_Memory
29,虚弱体質,肉体,あなたの身体は単純に弱い。あまり力仕事はしない方が良いだろう。,Forgetful
30,酔いどれ,肉体,あなたは酒に溺れる酔いどれだ。三度の飯より酒が好きで、常に酒に酔っており、酒があれば飲まずにいられない。,Aging
31,鳥目,肉体,あなたは鳥目だ。暗いところでは極端に視力が弱まり、ほとんどなにも見えなくなってしまう。,Frail_Constitution
32,呪痕,肉体,あなたはかつて、強烈な呪いを受けた。命こそ助かったものの、その傷はいまも深く残っており、時折ひどく痛むことがある。,Drunkard
33,炎使い,精神,あなたは炎を自在に操ることができる。火の玉で攻撃はもちろん、キャンプファイアもお手のものだ。,Night_Blindness
34,氷使い,精神,あなたは氷を自在に操ることができる。厄介な敵や足の速い食べ物はまとめて凍らせてしまえばいい。,Curse_Scar
35,雷使い,精神,あなたは雷を自在に操ることができる。強烈な電光の前には、壁や鎧は意味をなさない。,Fire_User
36,風使い,精神,あなたは風を自在に操ることができる。鋭い風は敵を斬り裂き、雄大な風は船や鳥の味方となるだろう。,Ice_User
37,聖なる加護,精神,あなたは聖なる力の加護を受けている。その光は呪いや災いを防ぎ、悪しきものを祓うだろう。,Thunder_User
38,闇の奔流,精神,あなたは闇の力を従えている。すべてを飲み込む闇の力を制御するには、強い意志が必要だ。,Wind_User
39,回復魔術,精神,あなたは魔術で他者を癒すことができる。傷の再生から毒の治癒まで、その内容は多岐に渡る。,Sacred_Protection
40,源素魔法,精神,あなたは世界に存在する「源素」の力を引き出す魔法を使うことができる。森や岩山も、あなたの手にかかれば強力な武器となる。,Dark_Torrent
41,陰陽術,精神,あなたは東方に伝わる、札や式神を用いた独自の術を使うことができる。,Healing_Magic
42,魔力の泉,精神,あなたは無尽蔵に近い魔力を持っている。その魔力の使い道があるかどうかは別の問題だが。,Elemental_Magic
43,召喚術,精神,あなたは召喚術を習得している。対象を名指しし、相応の代償を捧げることで、さまざまなものを使役することができるのだ。,Yin-Yang_Arts
44,重力操作,精神,あなたは重力を操ることができる。軽くしたり重くしたり、重力の方向も自由自在だ。,Magic_Spring
45,透明化,精神,あなたは魔法をかけたものを周囲から見えなくすることができる。自分にかけて透明人間になりたい時は、装備品がすべて透明になっているか確認した方が良い。,Summoning_Arts
46,テレパシー,精神,あなたは言葉を発さずとも、テレパシーで他人と会話ができる。テレパシーの力なら、本来言葉を持たない存在とも会話ができるかもしれない。,Gravity_Manipulation
47,サイコメトラー,精神,あなたは生物・非生物問わず、触れたものの記憶を辿ることができる。,Invisibility
48,超幸運,精神,あなたはあらゆる理屈を抜きにして、ただとにかく運が良い。,Telepathy
49,精神感応,精神,あなたの精神は感受性が高く、周囲の生き物の思考や感情を感じ取ることができる。,Psychometrist
50,霊感,精神,あなたは霊感が強く、この世に存在しないはずのものたちを見ることができる。時に、見てはいけないものを見てしまうこともあるかもしれない。,Super_Luck
51,予知,精神,あなたは予知能力を持っている。示される未来は限定的だが、その予知が外れることはほとんどない。,Psychic_Sensitivity
52,精霊との親和,精神,あなたは精霊と波長が合う。精霊の姿を見ることができるほか、機嫌がよければ力を貸してもらうこともできるかもしれない。,Clairvoyance
53,直観力,精神,あなたは直観力に優れており、普通の人なら見過ごしてしまうような小さな違和感に気付くことがある。,Precognition
54,魔物知識,精神,あなたは魔物に関する卓越した知識を持っている。たいていの魔物の特性や生態を言い当てることができる。,Affinity_with_Spirits
55,地理知識,精神,あなたはこの世界の地理に関する卓越した知識を持っている。特徴的な地形や気候分布、植生などから、あなたがいまどこにいるのかを大まかに知ることができる。,Intuition
56,社会知識,精神,あなたはこの世界の社会構造に関する卓越した知識を持っている。特定の国の特権階級や独自の権力構造を持つ組織・団体なども、紋章ひとつで見抜くことができる。,Monster_Lore
57,異世界知識,精神,あなたはこの世界とは別の、全く異なる世界の知識を持っている。,Geography
58,規模勘,精神,あなたは物の大きさや重さ、数量などをとっさに判断する能力が非常に高い。たいていのものは手に持っただけで重さが分かるし、群衆の大まかな人数も一目で分かる。,Social_Knowledge
59,魔術の才能ゼロ,精神,あなたには魔法に関する才能が一切ない。あなたの使うあらゆる魔法は失敗するか、不発に終わってしまう。,Spatial_Awareness
60,運が悪い,精神,あなたはどういうわけか、ものすごく運が悪い。,Zero_Talent_for_Magic
61,幻覚,精神,あなたは幻覚に苛まれている。何をしても、どこに行っても、この幻覚を振り払うことはできない。,Bad_luck
62,お化けが怖い,精神,あなたはお化けが怖い。なんてったって怖いものは怖いのだ。,Hallucinations
63,快楽中毒,精神,あなたは快楽に弱い。心地よいこと、楽なことに抗うことができない。,Fear_of_ghosts
64,バカ正直,精神,あなたはバカ正直だ。聞いたことはなんでも信じるし、聞かれたことには何でも答えてしまう。,Pleasure_addiction
65,考古学,社会,あなたは考古学に精通している。古代の遺物や文化の知識が高く、それらの分析を行うこともできる。,Honest_to_a_fault
66,医学,社会,あなたは医学に精通しており、魔術に頼ることなく、病や傷の分析と治療ができる。ただし、回復魔術ほどの即効性はない。,Archaeology
67,天文学,社会,あなたは星の並びを熟知している。星の動きから自分たちの位置や進むべき方向を割り出したり、月を見て時間を計ることもできる。,Medicine
68,錬金術,社会,あなたは錬金術に習熟している。薬品や魔道具など、さまざまな便利なものを作り出すことが可能だ。,Astronomy
69,発明王,社会,あなたは常人にはないひらめきを持ち、周囲の物品から、工学的なアイデアでアイテムを作り出すことができる。,Alchemy
70,音楽家,社会,あなたは音楽家だ。楽器で、あるいはあなた自身の身体で、いつでもどこでも音楽を演奏することができる。,Inventor_extraordinaire
71,演技力,社会,あなたは役が乗り移ったかのように、完璧な演技をすることができる。,Musician
72,裁縫,社会,あなたは布や糸を使って衣服や装飾品を作成・修繕する技術に長けている。穴の開いたマントの修繕はもちろん、布さえあればドレスやテントも作れる。,Acting_skills
73,芸術の才,社会,あなたは彫刻や絵画など、何かしらの芸術の才能を持っている。また、芸術作品の審美にも長けている。,Sewing
74,動物使い,社会,あなたは動物を手懐けることに長けている。もしかしたら、動物の特徴を持つ人物にも応用できるかもしれない。,Artistic_talent
75,寿司職人,社会,あなたは「寿司」と呼ばれる料理の製作に長けている。魚と米さえあれば、あるいはなくても、あなたは寿司を作ることができる。,Animal_handler
76,ギャンブルの心得,社会,あなたはギャンブルのプロだ。カジノのゲームに留まらず、大きなリスクを取り、莫大な利益を得る娯楽や行動に長けている。,Sushi_chef
77,世界の旅人,社会,あなたは広い世界を渡ってきた旅人だ。長距離の移動も苦ではなく、異なる文化の間を渡り歩くことに長けている。,Gambling_acumen
78,信仰,社会,あなたは特定の信仰を持っている。敬虔な信仰は、あなたが危機に陥った時に救いをもたらすだろう。,World_traveler
79,カリスマ,社会,あなたはカリスマに満ち溢れている。人を説得し、惹きつける素質があるのだ。,Faith
80,鉄の仮面,社会,あなたの表情は鉄壁だ。どんなに動揺する出来事も、あなたの表情を動かすことはできない。,Charisma
81,美貌,社会,あなたは誰もが目を奪われる美貌を持っている。黙っているだけで、周りから味方も厄介ごとも寄ってくる。,Iron_mask
82,高貴な血,社会,あなたは高貴な血筋の出身だ。相応の知識を持つ相手であれば、あなたの名前を聞いただけで態度を変えるだろう。,Good_looks
83,裏社会との繋がり,社会,あなたには裏社会とのつながりがある。危険な薬物や禁制品、裏情報などを手に入れるのに便利だが、安易に利用しすぎれば、足元をすくわれるかもしれない。,Noble_blood
84,交渉術,社会,あなたは交渉で最大の利益を挙げることに長けている。あなたにかかれば、わらしべが豪邸に変わるだろう。,Underworld_connections
85,大金持ち,社会,あなたは大金持ちだ。七代は遊んで暮らせるほどの資産を持っている。,Negotiation_skills
86,威圧感,社会,あなたは存在するだけで周囲を威圧する。気の弱い者では、あなたからの頼みごとを断るのは難しいだろう。,Extremely_wealthy
87,噂話の達人,社会,あなたは噂話の達人だ。貴族のスキャンダルから野良猫の恋愛事情まで、あなたの耳を逃れられる噂はない。,Intimidating_presence
88,友達の友達,社会,あなたは顔が広い。だいたいのことは、友達の友達に聞いたらなんとかしてくれる。,Master_of_gossip
89,ファンクラブ,社会,あなたには、あなたを敬愛しあなたに尽くそうとするファンクラブがある。規模や入会方法など詳細は不明だが、あなたが望めば彼らは必ず力になってくれる。,Friend_of_a_friend
90,変装,社会,あなたは変装の達人だ。衣装と化粧道具さえあれば、望みの姿に変装することができる。ただし、体格を誤魔化すことはできない。,Fan_club
91,逆カリスマ,社会,あなたはカリスマ性に見放されている。どれだけ言葉を並べても、なかなか人を惹きつけられない。,Anti-charisma
92,貧乏性,社会,あなたは貧乏性だ。どんなに些細なものでも勿体なくて捨てられず、小銭一枚のために自分も周りも危険に晒してしまう。,Penny-pincher
93,希少な種族,社会,あなたは世界にほとんど存在しない希少な種族だ。街では好奇の視線を向けられ、ときに良からぬ輩にその身を狙われることもある。,Rare_breed
94,胡乱,社会,あなたは胡乱だ。あなたが意識的にそう振る舞っているのか、それとも本人なりに真面目に生きているのかに関わらず、周囲からはひどく怪しまれ、つねに疑われる。,Suspicious
95,莫大な借金,社会,あなたには莫大な借金がある。あなたが稼ぐ金のほとんどは借金の返済にあてられ、あなたの生活はいつまでたっても楽にならない。,Massive_debt
96,指名手配,社会,あなたはとある罪で指名手配されている。冒険者や大きな町の住人の中には、あなたの手配書を見たことのあるものがいるかもしれない。,Wanted
